"","Source","Year","Mean","fill","mean_10"
"118","GISTEMP",1997,0.4633,NA,0.35049
"119","GISTEMP",1998,0.605,NA,0.37241
"120","GISTEMP",1999,0.38,NA,0.38324
"121","GISTEMP",2000,0.3917,NA,0.37791
"122","GISTEMP",2001,0.5325,NA,0.39083
"123","GISTEMP",2002,0.6267,NA,0.4315
"124","GISTEMP",2003,0.6167,NA,0.47017
"125","GISTEMP",2004,0.5325,NA,0.49209
"126","GISTEMP",2005,0.675,NA,0.51517
"127","GISTEMP",2006,0.6375,NA,0.54609
"128","GISTEMP",2007,0.6608,NA,0.56584
"129","GISTEMP",2008,0.5433,NA,0.55967
"130","GISTEMP",2009,0.655,NA,0.58717
"131","GISTEMP",2010,0.7233,NA,0.62033
"132","GISTEMP",2011,0.6058,NA,0.62766
"133","GISTEMP",2012,0.6433,NA,0.62932
"134","GISTEMP",2013,0.6733,NA,0.63498
"135","GISTEMP",2014,0.7458,NA,0.65631
"136","GISTEMP",2015,0.8975,NA,0.67856
"137","GISTEMP",2016,1.0133,NA,0.71614
"138","GISTEMP",2017,0.92,NA,0.74206
"139","GISTEMP",2018,0.8475,NA,0.77248
"140","GISTEMP",2019,0.9758,NA,0.80456
"141","GISTEMP",2020,1.0092,NA,0.83315
"142","GISTEMP",2021,0.8483,NA,0.8574
"143","GISTEMP",2022,0.8933,NA,0.8824
"144","GISTEMP",2023,1.1692,NA,0.93199
